fylkenr	fylkenr_fra	AAR	folketal_fra	befAndel_i_fraGeo
03	03	2010	586860	1
03	03	2011	599230	1
03	03	2012	613285	1
03	03	2013	623966	1
03	03	2014	634463	1
03	03	2015	647676	1
03	03	2016	658390	1
03	03	2017	666759	1
03	03	2018	673469	1
03	03	2019	681071	1
03	03	2020	693494	1
03	03	2021	697010	1
03	03	2022	699827	1
03	03	2023	709037	1
03	03	2024	717710	1
03	03	2025	724290	1
11	11	2010	427947	1
11	11	2011	436087	1
11	11	2012	443115	1
11	11	2013	452159	1
11	11	2014	459625	1
11	11	2015	466302	1
11	11	2016	470175	1
11	11	2017	472024	1
11	11	2018	473526	1
11	11	2019	475654	1
11	11	2020	479892	1
11	11	2021	482645	1
11	11	2022	485797	1
11	11	2023	492350	1
11	11	2024	499417	1
11	11	2025	504496	1
15	14	2010	1227	0,00493171166970796
15	15	2010	247571	0,995068288330292
15	15	2011	250182	0,995198676155281
15	14	2011	1207	0,00480132384471874
15	14	2012	1220	0,00480090036557676
15	15	2012	252899	0,995199099634423
15	15	2013	255737	0,995182410740344
15	14	2013	1238	0,00481758925965561
15	14	2014	1223	0,0047197116460718
15	15	2014	257903	0,995280288353928
15	15	2015	260118	0,995327907430579
15	14	2015	1221	0,00467209256942133
15	14	2016	1200	0,00456435165286584
15	15	2016	261707	0,995435648347134
15	15	2017	262649	0,995459489780062
15	14	2017	1198	0,00454051021993807
15	14	2018	1175	0,00444367126665431
15	15	2018	263246	0,995556328733346
15	15	2019	263818	0,995652338000528
15	14	2019	1152	0,00434766199947164
15	15	2020	265238	1
15	15	2021	265544	1
15	15	2022	265848	1
15	15	2023	268365	1
15	15	2024	270624	1
15	15	2025	272413	1
18	18	2010	234926	1
18	18	2011	235955	1
18	18	2012	237036	1
18	18	2013	238333	1
18	18	2014	239621	1
18	18	2015	240402	1
18	18	2016	240623	1
18	18	2017	241614	1
18	18	2018	242076	1
18	18	2019	242126	1
18	18	2020	241235	1
18	18	2021	240345	1
18	18	2022	240190	1
18	18	2023	241084	1
18	18	2024	243081	1
18	18	2025	243582	1
31	01	2010	270974	1
31	01	2011	274149	1
31	01	2012	277664	1
31	01	2013	281309	1
31	01	2014	284290	1
31	01	2015	286526	1
31	01	2016	289195	1
31	01	2017	292208	1
31	01	2018	294738	1
31	01	2019	296847	1
31	30	2020	299447	1
31	30	2021	301861	1
31	30	2022	304754	1
31	30	2023	309161	1
31	31	2024	312152	1
31	31	2025	314407	1
32	01	2010	688	0,00118621916778449
32	02	2010	536499	0,92500784490874
32	05	2010	14868	0,0256347479456684
32	06	2010	27939	0,0481711879778067
32	06	2011	28419	0,0481871531445682
32	05	2011	15013	0,0254559882529084
32	02	2011	545653	0,925207244265917
32	01	2011	678	0,0011496143366064
32	01	2012	688	0,00114479683184133
32	02	2012	556254	0,925578222237013
32	05	2012	15259	0,0253901960131785
32	06	2012	28779	0,0478867849179673
32	06	2013	29399	0,0480522643356712
32	05	2013	15324	0,025046868896215
32	02	2013	566399	0,925771436697161
32	01	2013	691	0,00112943007095305
32	01	2014	672	0,00108064993374587
32	02	2014	575757	0,925880601047201
32	05	2014	15468	0,0248742457964004
32	06	2014	29951	0,0481645032226525
32	06	2015	30403	0,0481383079787706
32	05	2015	15602	0,0247032819486491
32	02	2015	584899	0,926094405107224
32	01	2015	672	0,0010640049653565
32	01	2016	672	0,00104708289250416
32	02	2016	594533	0,926376984120801
32	05	2016	15673	0,0244210270449669
32	06	2016	30905	0,048154905941728
32	06	2017	31393	0,0481323843721923
32	05	2017	15776	0,0241880831986655
32	02	2017	604368	0,926629276534677
32	01	2017	685	0,00105025589446538
32	01	2018	682	0,00102950855307252
32	02	2018	614026	0,926898854558519
32	05	2018	15842	0,0239141854806084
32	06	2018	31902	0,0481574514078001
32	06	2019	32156	0,0477956422669487
32	05	2019	15897	0,02362878856567
32	02	2019	624055	0,927575243652838
32	01	2019	673	0,00100032551454337
32	30	2020	682092	1
32	30	2021	689561	1
32	30	2022	701565	1
32	30	2023	716020	1
32	32	2024	728803	1
32	32	2025	740680	1
33	06	2010	229734	0,972624894157494
33	07	2010	6466	0,0273751058425064
33	07	2011	6494	0,0271505320149675
33	06	2011	232691	0,972849467985032
33	06	2012	236385	0,97291390564935
33	07	2012	6581	0,0270860943506499
33	07	2013	6570	0,0266884398839845
33	06	2013	239604	0,973311560116016
33	06	2014	242277	0,973559112261258
33	07	2014	6580	0,0264408877387415
33	07	2015	6601	0,0263056169924482
33	06	2015	244334	0,973694383007552
33	06	2016	246779	0,973936688728131
33	07	2016	6604	0,0260633112718691
33	07	2017	6653	0,0260928565265478
33	06	2017	248321	0,973907143473452
33	06	2018	249867	0,973992258487014
33	07	2018	6672	0,0260077415129863
33	07	2019	6685	0,025943332156149
33	06	2019	250992	0,974056667843851
33	30	2020	259626	1
33	30	2021	260962	1
33	30	2022	262911	1
33	30	2023	267060	1
33	33	2024	269819	1
33	33	2025	271248	1
34	04	2010	190709	0,528196378965094
34	05	2010	170348	0,471803621034906
34	05	2011	171074	0,471673247016785
34	04	2011	191622	0,528326752983215
34	04	2012	192791	0,52865945118858
34	05	2012	171888	0,47134054881142
34	05	2013	171930	0,47020503269529
34	04	2013	193719	0,52979496730471
34	04	2014	194433	0,530100740215658
34	05	2014	172352	0,469899259784342
34	05	2015	173205	0,470208329939895
34	04	2015	195153	0,529791670060105
34	04	2016	195356	0,529942816219794
34	05	2016	173280	0,470057183780206
34	05	2017	173703	0,469603371785895
34	04	2017	196190	0,530396628214105
34	04	2018	196966	0,530914246591589
34	05	2018	174028	0,469085753408411
34	05	2019	173648	0,467985791825449
34	04	2019	197406	0,532014208174551
34	34	2020	371385	1
34	34	2021	370603	1
34	34	2022	371253	1
34	34	2023	373628	1
34	34	2024	376304	1
34	34	2025	377556	1
39	07	2010	224820	1
39	07	2011	227211	1
39	07	2012	229843	1
39	07	2013	232178	1
39	07	2014	234280	1
39	07	2015	236061	1
39	07	2016	238363	1
39	07	2017	240395	1
39	07	2018	242386	1
39	07	2019	244393	1
39	38	2020	246041	1
39	38	2021	248348	1
39	38	2022	250862	1
39	38	2023	253555	1
39	39	2024	256432	1
39	39	2025	258071	1
40	08	2010	168231	1
40	08	2011	169185	1
40	08	2012	170023	1
40	08	2013	170902	1
40	08	2014	171469	1
40	08	2015	171953	1
40	08	2016	172494	1
40	08	2017	173307	1
