Geonr_siste;	GeoNamn_siste;	KomNr;	KommuneNamn;	Geonr_LGG201;	GeoNamn_LGG201;	RHF;	KOSTRAgruppe;	AAR;	Geonr_fra;	Geonamn_fra;	folketal_fra;	befAndel_i_fraGeo;	LGG;	sortnr
0301;	Oslo;	0301;	Oslo;	OPT14Fixa;	OUS med heile Oslo Kommune*;	Helse Sør-Øst;	Kostragr 13;	2010;	0301;	Oslo;	586860;	1;	LGG001;	291
0301;	Oslo;	0301;	Oslo;	OPT14Fixa;	OUS med heile Oslo Kommune*;	Helse Sør-Øst;	Kostragr 13;	2011;	0301;	Oslo;	599230;	1;	LGG001;	291
0301;	Oslo;	0301;	Oslo;	OPT14Fixa;	OUS med heile Oslo Kommune*;	Helse Sør-Øst;	Kostragr 13;	2012;	0301;	Oslo;	613285;	1;	LGG001;	291
0301;	Oslo;	0301;	Oslo;	OPT14Fixa;	OUS med heile Oslo Kommune*;	Helse Sør-Øst;	Kostragr 13;	2013;	0301;	Oslo;	623966;	1;	LGG001;	291
0301;	Oslo;	0301;	Oslo;	OPT14Fixa;	OUS med heile Oslo Kommune*;	Helse Sør-Øst;	Kostragr 13;	2014;	0301;	Oslo;	634463;	1;	LGG001;	291
0301;	Oslo;	0301;	Oslo;	OPT14Fixa;	OUS med heile Oslo Kommune*;	Helse Sør-Øst;	Kostragr 13;	2015;	0301;	Oslo;	647676;	1;	LGG001;	291
0301;	Oslo;	0301;	Oslo;	OPT14Fixa;	OUS med heile Oslo Kommune*;	Helse Sør-Øst;	Kostragr 13;	2016;	0301;	Oslo;	658390;	1;	LGG001;	291
0301;	Oslo;	0301;	Oslo;	OPT14Fixa;	OUS med heile Oslo Kommune*;	Helse Sør-Øst;	Kostragr 13;	2017;	0301;	Oslo;	666759;	1;	LGG001;	291
0301;	Oslo;	0301;	Oslo;	OPT14Fixa;	OUS med heile Oslo Kommune*;	Helse Sør-Øst;	Kostragr 13;	2018;	0301;	Oslo;	673469;	1;	LGG001;	291
0301;	Oslo;	0301;	Oslo;	OPT14Fixa;	OUS med heile Oslo Kommune*;	Helse Sør-Øst;	Kostragr 13;	2019;	0301;	Oslo;	681071;	1;	LGG001;	291
0301;	Oslo;	0301;	Oslo;	OPT14Fixa;	OUS med heile Oslo Kommune*;	Helse Sør-Øst;	Kostragr 13;	2020;	0301;	Oslo;	693494;	1;	LGG001;	291
0301;	Oslo;	0301;	Oslo;	OPT14Fixa;	OUS med heile Oslo Kommune*;	Helse Sør-Øst;	Kostragr 13;	2021;	0301;	Oslo;	697010;	1;	LGG001;	291
0301;	Oslo;	0301;	Oslo;	OPT14Fixa;	OUS med heile Oslo Kommune*;	Helse Sør-Øst;	Kostragr 13;	2022;	0301;	Oslo;	699827;	1;	LGG001;	291
0301;	Oslo;	0301;	Oslo;	OPT14Fixa;	OUS med heile Oslo Kommune*;	Helse Sør-Øst;	Kostragr 13;	2023;	0301;	Oslo;	709037;	1;	LGG001;	291
0301;	Oslo;	0301;	Oslo;	OPT14Fixa;	OUS med heile Oslo Kommune*;	Helse Sør-Øst;	Kostragr 13;	2024;	0301;	Oslo;	717710;	1;	LGG001;	291
0301;	Oslo;	0301;	Oslo;	OPT14Fixa;	OUS med heile Oslo Kommune*;	Helse Sør-Øst;	Kostragr 13;	2025;	0301;	Oslo;	724290;	1;	LGG001;	291
030101;	Gamle Oslo;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2010;	030101;	Gamle Oslo;	42569;	1;	LGG002;	290
030101;	Gamle Oslo;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2010;	030101;	Gamle Oslo;	42569;	1;	LGG003;	311
030101;	Gamle Oslo;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2011;	030101;	Gamle Oslo;	43770;	1;	LGG002;	290
030101;	Gamle Oslo;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2011;	030101;	Gamle Oslo;	43770;	1;	LGG003;	311
030101;	Gamle Oslo;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2012;	030101;	Gamle Oslo;	44958;	1;	LGG002;	290
030101;	Gamle Oslo;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2012;	030101;	Gamle Oslo;	44958;	1;	LGG003;	311
030101;	Gamle Oslo;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2013;	030101;	Gamle Oslo;	46290;	1;	LGG002;	290
030101;	Gamle Oslo;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2013;	030101;	Gamle Oslo;	46290;	1;	LGG003;	311
030101;	Gamle Oslo;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2014;	030101;	Gamle Oslo;	48417;	1;	LGG002;	290
030101;	Gamle Oslo;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2014;	030101;	Gamle Oslo;	48417;	1;	LGG003;	311
030101;	Gamle Oslo;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2015;	030101;	Gamle Oslo;	49854;	1;	LGG002;	290
030101;	Gamle Oslo;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2015;	030101;	Gamle Oslo;	49854;	1;	LGG003;	311
030101;	Gamle Oslo;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2016;	030101;	Gamle Oslo;	51444;	1;	LGG002;	290
030101;	Gamle Oslo;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2016;	030101;	Gamle Oslo;	51444;	1;	LGG003;	311
030101;	Gamle Oslo;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2017;	030101;	Gamle Oslo;	53241;	1;	LGG002;	290
030101;	Gamle Oslo;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2017;	030101;	Gamle Oslo;	53241;	1;	LGG003;	311
030101;	Gamle Oslo;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2018;	030101;	Gamle Oslo;	54575;	1;	LGG002;	290
030101;	Gamle Oslo;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2018;	030101;	Gamle Oslo;	54575;	1;	LGG003;	311
030101;	Gamle Oslo;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2019;	030101;	Gamle Oslo;	55683;	1;	LGG002;	290
030101;	Gamle Oslo;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2019;	030101;	Gamle Oslo;	55683;	1;	LGG003;	311
030101;	Gamle Oslo;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2020;	030101;	Gamle Oslo;	58671;	1;	LGG002;	290
030101;	Gamle Oslo;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2020;	030101;	Gamle Oslo;	58671;	1;	LGG003;	311
030101;	Gamle Oslo;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2021;	030101;	Gamle Oslo;	59876;	1;	LGG002;	290
030101;	Gamle Oslo;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2021;	030101;	Gamle Oslo;	59876;	1;	LGG003;	311
030101;	Gamle Oslo;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2022;	030101;	Gamle Oslo;	60209;	1;	LGG002;	290
030101;	Gamle Oslo;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2022;	030101;	Gamle Oslo;	60209;	1;	LGG003;	311
030101;	Gamle Oslo;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2023;	030101;	Gamle Oslo;	61756;	1;	LGG002;	290
030101;	Gamle Oslo;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2023;	030101;	Gamle Oslo;	61756;	1;	LGG003;	311
030101;	Gamle Oslo;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2024;	030101;	Gamle Oslo;	63712;	1;	LGG002;	290
030101;	Gamle Oslo;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2024;	030101;	Gamle Oslo;	63712;	1;	LGG003;	311
030101;	Gamle Oslo;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2025;	030101;	Gamle Oslo;	64554;	1;	LGG002;	290
030101;	Gamle Oslo;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2025;	030101;	Gamle Oslo;	64554;	1;	LGG003;	311
030102;	Grünerløkka;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2010;	030102;	Grünerløkka;	45647;	1;	LGG002;	291
030102;	Grünerløkka;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2010;	030102;	Grünerløkka;	45647;	1;	LGG003;	312
030102;	Grünerløkka;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2011;	030102;	Grünerløkka;	47256;	1;	LGG002;	291
030102;	Grünerløkka;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2011;	030102;	Grünerløkka;	47256;	1;	LGG003;	312
030102;	Grünerløkka;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2012;	030102;	Grünerløkka;	49307;	1;	LGG002;	291
